English,Japanese
leptomeningitides,軟膜炎
leptomeninx,軟膜、軟髄膜
leptopellic,a〉狭骨盤の
leptophonia,音声微弱、弱声症
leptospira,〔菌 学名〕レプトスピラ属
leptospirosis,レプトスピラ症 〈interrogansによる感染症〉
leptoprosopia,長顔症
leptorrhine,a〉狭い鼻の、細い鼻の
leptostaphyline,a〉狭高口蓋の
lesion,病変
lesser,a〉小〜
lethal,a〉致死(性)の、致死的な
lethargic,a〉1_嗜眠性の、嗜眠症の、嗜眠状態の 2_無気力の、不活発な 3_鈍感な
lethargy,嗜眠
leuconychia,爪甲白斑(症)
leukemia,白血病
leukemic,a〉白血病性の
leukemogen,白血病誘発物質
leukemogenesis,白血病誘発
leukemogenic,a〉白血病誘発性の
leukoagglutinin,白血球凝集素
leukocoria,白色瞳孔
leukocyte,白血球
leukocytopenia,白血球減少(症)
leukocytoplania,白血球遊出
leukocytopoiesis,白血球産生、白血球生成
leukocytosis,白血球増加(症)
leukocytotactic,a〉白血球遊走性の
leukocytotaxis,白血球遊走性
leukoedema,白色浮腫
leukoencephalopathy,白質脳症
leukogram,白血球像
leukomalacia,白質軟化(症)
leukomyelitis,白質脊髄炎、脊髄白質炎
leukonychia,爪甲白斑(症)
leukopedesis,白血球漏出
leukopenia,白血球減少(症)
leukopenic,a〉白血球減少(症)の
leukoplakia,白板症
leukorrhea,白帯下、帯下=たいげ
leukoscope,ロイコスコープ
leukosis,白血症
leukostasis,白血球停滞
leukotactic,a〉白血球遊走性の
leukotaxia,白血球遊走性
levator,《解》挙筋
level,濃度
lever,てこ、レバー
leverage,1_てこの作用 2_てこの装置
levorotation,左旋性
levorotatory,a〉左旋(性)の、反時計回転の
liberation,1_放出 2_《理化》遊離
libido,1_性欲、愛欲 2_<[精神分析]>リビド
lichen,苔癬
lichenoid,a〉苔癬様の、苔癬の
licorice,甘草 かんぞう
life,1_生命 2_生活 3_一生、寿命
life prolonging,a〉延命の
life threatening,a〉命にかかわる、生命を脅かす
lifetime,一生、生涯、終生、寿命
ligament,《解》靭帯
ligamental,a〉靭帯の
ligamentous,a〉靭帯の
ligation,結紮(法)
ligature,結紮糸
light,光り
lightheadedness,1_めまい 2_軽率
lighting,採光
limb,手足の１つ
limbic,a〉1_縁の 2_辺縁系の
limbless,a〉手足のない
limbus,《解》縁 [L]
liminal,a〉閾値の
limit,制限
limitation,制限、限度
limp,跛行 はこう
line,線
linea,線
linear,a〉線形の、直線の
lingua,《解》舌 [L]
lingual,a〉1_舌の 2_舌側の
lingualar,a〉小舌の
linguiform,a〉舌状の
linguistic,a〉言語学の
linguistics,言語学
lingula,小舌
linguogingival,a〉舌側歯肉の
linguomandibular,a〉舌下顎の
lining,1_被覆、裏装 2_《歯》裏装
link,リンク、連結
linkage,1_連合、連鎖、結合 2_連鎖<遺伝子の> 3_《理化》結合<原子の>
lip,唇
lipase,リパーゼ、脂肪分解酵素
lipemia,脂血症、脂肪血症
lipemic,a〉脂血症の、脂肪血症の
lipid,脂質
lipoblast,脂肪芽細胞
lipoblastoma,脂肪芽細胞腫
lipocatabolic,a〉脂肪分解の
lipocyte,脂肪細胞
lipofibroma,脂肪線維腫
lipofibromyxoma,脂肪線維粘液腫
lipogenesis,脂質生合成、脂肪生成、脂肪産生
lipogenic,a〉脂肪原性の
lipogenous,a〉1_脂肪性の、脂肪産生の 2_肥満を起こす
lipogranuloma,脂肪肉芽腫
lipogranulomatosis,脂肪肉芽腫症
lipoid,類脂質
lipodemia,類脂血症
lipoidosis,類脂症
lipolysis,脂肪分解
lipolytic,a〉脂肪分解の
lipoma,脂肪腫
lipomatosis,脂肪腫症
lipomeningocele,脂肪髄膜瘤
lipoperoxide,過酸化脂質
lipophage,脂肪食細胞
lipophilia,脂肪親和性
lipophilic,脂肪親和性
lipoprotein,リポ蛋白質
liposarcoma,脂肪肉腫
liposoluble,a〉脂溶性の
liposuction,脂肪吸引
lipotrophic,a〉脂肪増多(症)の、体内脂肪増加の
lipotrophy,脂肪増多(症)
lipotropic,a〉脂肪親和性の、脂肪向性の
lipoxenous,a〉宿主離脱の
lipoxeny,宿主離脱
liquid,液体
liquorice,甘草 かんぞう
liquorrhea,髄液漏
lissencephaly,滑脳(症)
lissencephalia,滑脳(症)
lissotrichia,直毛(症)
lithic,a〉結石の
lithogenesis,結石形成
lithogenic,a〉結石形成の
lithogenous,a〉結石形成の
lithogeny,結石形成
litholapaxy,抽石術
lithonephritis,結石性腎炎
lithopedion,石胎
lithotroph,無機栄養生物
lithotrophic,a〉無機栄養の
lithous,a〉結石の
litigation,訴訟
livedo,青色皮斑
liver,肝、肝臓
load,負荷
loading,負荷
lobar,a〉大葉(性)の
lobate,a〉葉状の
lobe,葉
lobular,a〉小葉(性)の、分葉(性)の
lobulated,a〉分葉の
lobulation,分葉、分葉構造、分葉化、分葉形成
lobule,小葉
lobulus,小葉
local,a〉1_地方の 2_局所の、局部の
localization,局在
localized,a〉局在性の、限局性の
location,局在、所在、位置
lockjaw,破傷風、開口障害
locomotive,a〉移動性の、運動性の
locomotor,a〉運動の、移動の
locus,座
logagnosis,失読症
logarithm,<[数]>対数
logasthenia,言語盲
logic,論理、論理学
logical,a〉論理的な、分析的な
logoclonia,言語間代(症)、語間代(症)
logopaedist,言語治療士、言語医学者
logopathy,言語障害
logopedist,言語治療士、言語医学者
logophasia,構音障害
logorrhea,言葉漏れ
logospasm,痙攣性発語症
long chain,a〉長鎖の
long term,a〉長期の
loop,1_環、ループ 2_《解》係蹄
lordoscoliosis,脊椎前側彎症
lordosis,脊椎前彎症
lordotic,a〉脊椎前彎症の、前彎症の
loss,1_消失、喪失、損失 2_《理化》減量
low power,a〉低倍の
low salt,a〉低塩の
lower,a〉1_下方の 2_下級の 3_《歯》下顎の
lubricant,潤滑剤
lubrication,潤滑
lucency,光輝、光沢
lucent,a〉1_輝く 2_透明な
lucid,a〉1_輝く、透明な、清澄な、光沢のある 2_清明の<意識の>
lucidity,光輝、透明、清澄、光沢
lues,1_梅毒(syphilis) 2_疫病、ペスト
luetic,a〉1_梅毒の 2_疫病の、ペストの
lukewarm,a〉微温の
lumbago,腰痛(症)
lumbar,a〉腰の、腰椎の、腰部の
lumbocostal,a〉腰肋の
lumbosacral,a〉腰仙[骨]の
lumbrical,a〉虫様筋の
luminal,a〉内腔の
luminescence,発光、無熱光、蛍光、輝度、ルミネセンス
luminescent,a〉発光の、無熱光の、蛍光を発する、ルミネセンスの
lung,肺、肺臓
lunogracile,a〉薄月状の
lupus,狼瘡、ループス
luteal,a〉黄体の
luteinization,黄体形成、黄体化
luteinizing,a〉黄体形成の
luteolysis,黄体退縮
luteotropism,黄体刺激
luteotropic,黄体刺激
luteum,黄色の [Ｌ属格]
luting,a〉《歯》合着用の
luxation,脱臼
lymph,リンパ
lymphadenitis,リンパ節炎
lymphadenoma,リンパ節腫
lymphadenopathy,リンパ節障害、リンパ節症
lymphangiogenesis,リンパ管新生、リンパ管形成
lymphangioma,リンパ管腫
lymphangitis,リンパ管炎
lymphapheresis,リンパ球除去
lymphatic,a〉リンパの、リンパ液の、リンパ性の n〉リンパ管
lymphatitis,リンパ組織炎
lymphedema,リンパ水腫
lymphoblastic,a〉リンパ芽球性の
lymphoblastoid,a〉リンパ芽球様の
lymphocyte,リンパ球
lymphocytic,a〉リンパ球の
lymphocytopenia,リンパ球減少(症)
lymphocytosis,リンパ球増加(症)
lymphocytotoxin,リンパ球毒素、リンホトキシン
lymphoduct,リンパ管
lymphoepithelial,a〉リンパ上皮性の
lymphoepithelioma,リンパ上皮腫
lymphogranulomatosis,リンパ肉芽腫症
lymphoid,a〉リンパ系の、リンパ球様の
lymphoma,リンパ腫
lymphoplasmacytic,a〉リンパ球形質細胞(性)の
lymphoproliferation,リンパ球増殖
lymphosarcoma,リンパ肉腫
lymphotaxis,リンパ球走性
lymphotoxin,リンパ球毒素、リンホトキシン
lymphotrophic,a〉リンパ親和性の
lymphuria,リンパ尿症
lyogenic,a〉溶原(性)の
lyophile,a〉乳濁性の、親液性の
lyophilization,1_親液性化 2_凍結乾燥
lysate,溶解産物
lysine,リシン
lysis,溶解、溶菌
lysogen,a〉溶原
lysogenic,a〉溶原
lysogenization,溶原化
,a〉リソソーム=ライソソームの
lysosome,リソソーム、ライソソーム
lysosomal,リソソーム、ライソソーム
lysozyme,リゾチーム
macrocheilia,巨唇(症)
macrochilia,巨唇(症)
macrocythemia,大赤血球症
macrodactylia,大指(症)
macrodontia,《歯》巨大歯
macrogenitosomia,早発性大性器症
macroglobulinemia,マクログロブリン血症
macroglossia,大舌(症)、巨大舌
macrognathia,大顎(症)
macromelia,巨肢(症)
macromolecular,a〉高分子
macromolecule,高分子
macronucleus,大核
macronychia,巨爪(症)
macrophage,大食細胞、マクロファージ
macropsia,大視(症)、巨視(症)
macropyuria,肉眼的膿尿
macroscopic,a〉肉眼的な
macrosomia,巨人症
macrostomia,巨口(症)
macula,1_しみ、斑点 2_痣 あざ  3_角膜斑 4_黄斑<網膜の>
macular,a〉1_しみ･斑点の 2_痣の あざ  3_角膜斑の 4_黄斑の
maculate,a〉斑点のある、不潔な
macule,斑
maculocerebral,a〉黄斑大脳の
maculopapular,a〉斑丘疹状の
maculopathy,1_黄斑症 2_黄斑障害
mad,a〉狂気の
madarosis,睫毛欠損
magnetic,a〉磁性の
magnetism,磁気、磁気学
magnetization,《理化》磁化
magnetocardiogram,心磁図
magnetochemistry,磁気化学
magnetosphere,磁気圏
magnetotherapy,磁気療法
magnification,拡大
magnocellular,a〉大細胞部の
major,a〉大の、主な、主要な
mal,病気、疾患、痛み [F]
malabsorption,吸収不良、吸収障害
malacia,軟化(症)
malactic,軟化薬
maladjustment,不適応
malar,a〉頬骨の、頬部の
malaria,マラリア
malarial,a〉マラリアの
maldigestion,消化不良
male,男性、雄
malformation,奇形
malignancy,1_悪性 2_悪性腫瘍
malignant,a〉悪性の
malleolar,a〉踝の くるぶし
mallet,槌 つち
malleus,《解》ツチ骨
malnutrition,栄養失調、栄養不良
malnutritional,a〉栄養失調の、栄養不良の、栄養障害の
malocclusion,不正咬合、咬合異常
malodor,悪臭
malposed,a〉位置異常の
malposition,1_不良肢位 2_位置異常
malpractice,医療過誤、診療過誤、医療事故
malpresentation,胎位異常
malreduction,不全整復
malrotation,回転異常<腸管の>
mamelon,《解》切縁結節
mamma,乳房
mammalgia,乳房痛
mammary,a〉乳房の、乳腺の
mammogram,乳房造影図、乳房Ｘ線像
mammography,乳房造影(法)、乳房Ｘ線撮影(法)
mammoplasia,乳房発育
mammotomy,乳房切開(術)
mammotropic,a〉乳房刺激(性)の
man,1_男、男性 2_ヒト
management,処置
mandible,下顎、下顎骨
mandibular,a〉下顎の、下顎骨の
mandibulectomy,下顎骨切除(術)
mandibulofacial,a〉下顎顔面の
mania,躁病
manic,a〉躁病の
manic depressive,a〉躁鬱病の
manipulation,操作
manubriosternal,a〉胸骨柄結合の
manus,手
map,地図
mapping,マッピング
marasmus,消耗症
marble,大理石
margin,辺縁、境界
marginal,a〉辺縁の、周辺の 境界の
margination,辺縁化
margo,縁
marine,a〉海の、海洋の
mark,記号、符号、マーク
marker,標識、マーカー
marriage,結婚、婚姻
marrow,髄
marsupialization,造袋(術)
massage,マッサージ
masseteric,a〉咬筋の
mastalgia,乳房痛
mastectomy,乳房切除(術)
mastication,咀嚼
masticatory,a〉咀嚼の
mastitis,乳腺炎
mastocyte,肥満細胞
mastocytoma,肥満細胞腫
mastocytosis,肥満細胞症
mastoid,a〉1_乳頭状の 2_乳突の、乳様突起の
mastoidalgia,乳突痛、乳様突起痛
mastoidectomy,乳突開放(術)、乳突蜂巣切除(術)
mastoiditis,乳突炎、乳様突起炎
mastopathy,乳腺症
mastopexy,乳房固定(術)
mastoptosis,乳房下垂(症)
mastotomy,乳房切開(術)
material,材料
maternal,a〉母の、母性の、母系の、母方の
maternity,母性、母性愛
mathematics,数学
matrix,1_基質、マトリックス 2_《歯》隔壁 3_<[数]>行列
matter,物質
maturation,1_成熟 2_《理化》熟成
maxilla,《解》上顎骨、上顎†
maxillary,a〉上顎の、上顎骨の
maxillectomy,上顎骨切除(術)
maxillitis,上顎炎
maxillodental,a〉上顎歯の
maxillofacial,a〉上顎顔面の、顎顔面の
maximal,a〉最大の、最大限の、最高の、極大の
maximum,最大、最大限、最高点
measurement,測定、計測、計量
meatal,a〉(外耳)孔の、(外耳)道の
mechanic(al),a〉機械的な、人工の; 力学的な
mechanics,力学
mechanism,機序、機構
meconium,胎便
medial,a〉内側の
median,a〉正中の
mediastinal,a〉縦隔の
mediastinitis,縦隔炎
mediastinopericarditis,縦隔心膜炎
mediastinum,縦隔
medical,a〉1_医学の、医学的な 2_医療の、医事の 3_薬物の
medicament,医薬品、薬物、薬剤
medication,1_薬物療法、投薬(法) 2_薬物
medicinal,a〉医薬の、医薬品の、薬物の
medicine,1_医学、医科学、医療 2_医薬品
medicolegal,a〉法医学[的]の
mediocarpal,a〉手根骨間関節の
medioccipital,a〉後頭中央の、後頭中点の
mediodens,《歯》正中歯
mediodorsal,a〉中央背側の、背側中央の
mediolateral,a〉中央外側の
medionecrosis,中膜壊死
mediopubic,a〉恥骨正中の
mediotarsal,a〉足根骨間関節の、足根骨中央の
medium,培地
medulla,髄質
medullary,a〉1_髄の、髄質の 2_髄様の
medullization,骨髄化
medulloadrenal,a〉副腎髄質の
medulloblast,髄芽細胞
medulloblastoma,髄芽細胞腫
medulloencephalitis,髄質脳炎
medulloepithelioma,髄様上皮腫
medullopontine,a〉延髄橋の
megacolon,巨大結腸
megacystis,巨大膀胱
megakaryocyte,巨核球
megakaryocytosis,巨核球症
megaloblast,巨赤芽球
megaloblastosis,巨赤芽球症
megalocardia,巨心症
megalocystis,巨大膀胱
megalodactyly,巨指症
megalodactylia,巨指症
megalodactylism,巨指症
megaloglossia,巨大舌、大舌(症)
megalokaryoblast,巨核芽球
megalomania,誇大妄想、誇大妄想癖、誇大妄想狂
megalomelia,巨肢症
megasigmoid,巨大S状結腸
megasoma,巨体症
meibomian,a〉マイボーム腺の
meibomitis,マイボーム腺炎
meiosis,減数分裂
meiospore,還元胞子
melagra,四肢筋痛、肢筋痛
melalgia,肢痛
melanidrosis,黒色汗症
melanin,メラニン
melanocarcinoma,黒色癌腫
melanocyte,メラニン産生細胞、メラノサイト
melanocytic,a〉メラニン産生細胞の、メラノサイトの
melanoderma,黒色症
melanoma,黒色腫
melanomatosis,黒色腫症
melanophore,黒色素胞
melanoplakia,黒斑症
melanosarcoma,黒色肉腫
melanosis,黒色症
melanuria,黒色尿、メラニン尿
melanuric,a〉黒色尿の、メラニン尿の
melatonin,メラトニン
melasma,黒皮症
melena,黒色便、下血、メレナ
melioidosis,類鼻疽
melitis,頬炎
mellituria,糖尿 〈glycosuriaの旧語〉
melituria,糖尿 〈glycosuriaの旧語〉
mellitus,蜂蜜の [L]
melomania,音楽狂
melomelus,副肢体、副肢奇形体、副肢奇形体
meloplasty,頬形成(術)
melorheostosis,メロレオストーシス、流蝋様骨硬化(症)
melt,融成物
membered,a〉四肢のある
memberless,a〉四肢のない
membrane,膜
membrane attached,a〉膜付着(性)の
membrane bound,a〉膜結合(性)の
membranoproliferative,a〉膜性増殖性の
membranous,a〉膜の、膜性の、膜様の、膜質の
menalgia,月経痛
menarche,初経、《旧》初潮
meningeal,a〉髄膜(性)の
meningioma,髄膜腫
meningiomatosis,髄膜腫症
meningitic,a〉髄膜炎(性)の
meningitis,髄膜炎
meningocele,髄膜瘤
meningococcal,a〉髄膜炎菌(性)の
meningococcemia,髄膜炎菌血症
meningocortical,a〉髄膜皮質の
meningocyte,髄膜組織球
meningoencephalitic,a〉髄膜脳炎の
meningoencephalitis,髄膜脳炎
meningoencephalocele,髄膜脳瘤
meningoencephalomyelitis,髄膜脳脊髄炎
meningoencephalopathy,髄膜脳障害、髄膜脳症
meningohypophyseal,a〉髄膜下垂体の
meningomalacia,髄膜軟化(症)
meningomyeloencephalitis,髄膜脊髄脳炎
meningorachidian,a〉髄膜脊髄の
meningorrhagia,髄膜出血
meningorrhaphy,髄膜縫合(術)
meningovascular,a〉髄膜血管の
meniscocyte,鎌状赤血球
meniscofemoral,a〉半月大腿の
meniscosynovial,a〉半月滑膜の
meniscus,《解》1_半月 2_関節半月*
menolipsis,月経停止
menometrorrhagia,月経性子宮出血、機能性子宮出血
menopause,閉経、月経閉止
menophania,月経初潮
menorrhagia,月経過多
menorrhalgia,月経痛
menorrhea,(正常な)月経
menorrhoea,(正常な)月経
menoschesis,月経閉止
menouria,月経尿
menoxenia,月経不順
menstrual,a〉月経の
menstruation,月経、月経期間
mental,a〉1_精神の、精神的な、知的な 2_《歯》オトガイの
mentality,1_精神、精神状態 2_心性?
mentolabial,a〉オトガイ唇の
mentum,オトガイ=頤=、あご [L]
mephitic,a〉悪臭の
meralgia,大腿痛、肢痛
mercurial,a〉水銀(性)の
mercurialism,水銀中毒(症)
mercury,水銀
mercury vapor,a〉水銀蒸気の
mercury vapour,a〉水銀蒸気の
merogenesis,分節発生、体節発生
merogenetic,a〉分節発生の、体節発生の
merotomy,分断
mesangial,a〉メサンギウムの
mesangium,メサンギウム
mesaortitis,大動脈中膜炎
mesarteritis,動脈中膜炎
mesencephalic,a〉中脳の
mesencephalon,中脳 [L]
mesenchymal,a〉間葉(性)の、間葉系の
mesenchyme,間葉
mesenchymoma,間葉腫
mesenteric,a〉腸間膜の
mesenteritis,腸間膜炎
mesenterium,腸間膜
mesenteronic,a〉中腸の
mesentery,腸間膜
mesial,a〉近心の、近心側の
mesiobuccal,a〉《歯》近心頬側の
mesiolingual,a〉《歯》近心舌側の
mesiocclusion,《歯》近心咬合
mesiodistal,a〉《歯》近遠心の
mesiopulpal,a〉《歯》近心歯髄側の
mesioversion,《歯》近心転位
mesmeric,a〉催眠(術)の
mesmerism,1_催眠術 2_催眠(状態)
mesocortical,a〉中脳皮質の
mesodermal,a〉中胚葉(性)の
mesodermic,a〉中胚葉(性)の
mesogluteus,《解》中殿筋
mesonephroma,中腎腫
mesophryngeal,a〉中咽頭の
mesophilic,a〉中温性の
mesorchium,《解》精巣間膜
mesosalpinx,《解》卵管間膜
mesothelial,a〉中皮の
mesothelioma,中皮腫
mesothelium,中皮
mesovarian,a〉卵巣間膜の
mesovarium,《解》卵巣間膜
meta analysis,メタ分析
metabacterium,《理化》後生細菌
metabolic,a〉代謝(性)の
metabolism,代謝
metabolite,代謝産物、代謝物、代謝体
metacarpal,a〉1_中手骨の 2_中手の
metacarpophalangeal,a〉中手指節の
metacarpus,《解》中手(骨)
metacentric,a〉中部動原体の
metachromacy,異染色性、異染性
metachromasia,異染色性、異染性
metachromasy,異染色性、異染性
metachromatism,異染色性、異染性
metachromatic,a〉異染性の
metal,金属
metallic,a〉金属(性)の
metalliferous,a〉金属を含む
metalloenzyme,金属酵素
metalloflavoprotein,金属フラビン蛋白[質]
metalloid,a〉金属様の n〉メタロイド、類金属
metallophobia,金属恐怖(症)
metalloporphyrin,金属ポルフィリン
metalloprotein,金属蛋白
metalloproteinase,〔酵素〕メタロプロテイナーゼ
metallosis,金属症
metallotherapy,金属療法
metallurgy,冶金
metalues,変性梅毒
metamorphocoria,瞳孔変形
metamyelocyte,後骨髄細胞
metanephric,a〉後腎の
metaphasic,a〉後期の
metaphyseal,a〉骨幹端の
metaphysial,a〉骨幹端の
metaplasia,1_化生 2_変質形成
metaplasm,後形質
metaplasmic,a〉後形質の
metaplastic,a〉1_化生の 2_変質形成の
metastasis,転移
metastatic,a〉転移(性)の
metatarsal,a〉中足[骨]の、蹠骨の
metatarsalgia,中足骨痛
metatarsectomy,中足骨切除(術)
metatarsophalangeal,a〉中足趾節の、中足指節の
metatarsus,《解》中足 [L]
metatropic,a〉変容性の、変形性の
metazoan,後生動物
metencephalon,後脳
meteorism,鼓腸
meteorologist,《理化》気象学者
meteorology,《理化》気象学
meteoropathy,気象病、気象過敏症
meter,〜計、メータ
methanogen,《理化》メタン細菌
methanol,メタノール
method,方法
methyl,メチル基
methylation,メチル化
methylene,メチレン [-CH2-]
metra,子宮
metralgia,子宮痛
metratrophia,子宮萎縮(症)
metria,産褥熱
metrial,a〉子宮の
metritis,子宮炎
metrocyte,母細胞
metrodynia,子宮痛
metroendometritis,子宮内膜筋層炎
metroleukorrhea,子宮白帯下 帯下=たいげ
metrology,計測学
metromalacia,子宮軟化症
metroparalysis,子宮麻痺
metroperitonitis,子宮腹膜炎
metrophlebitis,子宮静脈炎
metroptosis,子宮脱
metrorrhagia,子宮出血
metrorrhea,子宮漏
metrorrhexis,子宮破裂(症)
metroscope,子宮鏡
metrostaxis,子宮漏血
metrostenosis,子宮狭窄
mica,雲母
micrencephaly,小脳症、小脳髄症
microabscess,微小膿瘍
microaerophilic,a〉微好気性の
microagglutination,微量凝集
microanatomy,微細解剖学、顕微解剖学
microangiography,微小血管造影(法)
microanalysis,微量分析
microanalytic(al),a〉微量分析の
microanalyzer,微量分析器
microaneurysm,微小動脈瘤
microangiopathy,微小血管症
microbe,微生物、細菌
microbial,a〉微生物の、細菌の
microbicidal,a〉殺菌(性)の
microbicide,殺菌剤
microbiological,a〉微生物学の、微生物学的な、細菌学の
microbiology,微生物学、細菌学
microcardia,小心症
microcephaly,小頭蓋(症)、小頭(症)
microcephalia,小頭蓋(症)、小頭(症)
microcephalism,小頭蓋(症)、小頭(症)
microcephalus,小頭体
microcephaly,小頭蓋(症)、小頭(症)
microcheilia,小唇症
microcheiria,小手症
microchemistry,微量化学
microcirculation,微小循環
microcolon,小結腸症
microcolonial,a〉微細集落の、ミクロコロニーの<細胞の>
microcolony,微細集落、ミクロコロニー
microcoria,小瞳孔(症)
microcrystal,微小結晶、微結晶
microcrystalline,a〉微小結晶の、微結晶の
microcurrent,微小電流、微弱電流、マイクロカレント
microcyst,微小嚢胞、小嚢胞
microcystic,a〉微小嚢胞の、小嚢胞の
microcyte,小赤血球
microcytic,a〉小赤血球(性)の
microcytosis,小球症
microdactylia,小指症、小趾症
microdactyly,小指症、小趾症
microdissection,顕微解剖、顕微切り出し
microdontia,《歯》小歯症、矮小歯
microelectrode,微小電極
microencephaly,小脳症、小脳髄症
microenvironment,微小環境
microenvironmental,a〉微小環境の
microerythrocyte,小赤血球
microevolution,小進化
microfauna,微小動物[類]
microfiltration,微小濾過
microflora,微生物叢
microfossil,微小化石
microfracture,微小骨折
microgastria,小胃(症)
microgenesis,矮小発育
microgenia,《歯》小下顎(症)
microgenitalism,小性器(症)
microglia,小膠細胞、ミクログリア
microglioma,小膠細胞腫
microgliosis,小膠細胞症
microglobulin,ミクログロブリン
microglossia,小舌(症)
micrognathia,《歯》小顎(症)
microgram,マイクログラム
micrographia,小書症、小字症
micrography,1_ 小書症(micrographia) 2_ 顕微鏡写真撮影(法)
microgyrus,小脳回
microhardness,微小硬さ
microhematuria,微小血尿、顕微血尿
microheterogeneity,微小不均一性
microimplant,ミクロインプラント
microincineration,顕微灰化(法)
microincision,微小切開
microinsemination,顕微授精(法)
microinvasion,微小浸潤
microleakage,微小漏洩
microlentia,小水晶体
microlith,小結石
micromanipulation,顕微操作
micromastia,小乳房(症)
micromelia,小肢症
micromelus,小肢体
micrometastasis,微小転移
micronucleation,微小核形成
micronucleus,微小核
micronutrient,微量栄養素
microoceanograpy,微海洋学
microorganic,a〉微生物の
microorganism,微生物
micropapillary,a〉微小乳頭の
micropathology,顕微病理学
microphakia,小水晶体
microphthalmia,小眼球(症)
micropipette,微小ピペット
microradiogram,顕微Ｘ線撮影図、微小Ｘ線撮影図、マイクロダジオグラム
microradiography,顕微Ｘ線撮影(法)、微小Ｘ線撮影(法)、マイクロダジオグラフィ
micropsia,小視症
micropuncture,刺絡
micropus,小足(症)
micropyuria,顕微鏡的膿尿(症)、顕微膿尿(症)
microscelous,a〉短脚の
microscope,顕微鏡
microscopic(al),a〉1_顕微鏡の、顕微鏡的な 2_顕微鏡観察[法]の
microscopically,ad. 顕微鏡的に
microscopy,顕微鏡観察法、顕微鏡研究法
microsomia,小人症
microspectrophotometer,顕微分光光度計
microspectrophotometry,顕微分光分析(法)、顕微分光測定(法)
microsplanchnic,a〉小内臓(症)の
microstomia,小口(症)
microtia,小耳(症)
microtome,ミクロトーム、組織切片作製器
microtomy,組織切片作製法、切片法
microtubule,微小管、微細管
microvascular,a〉微小血管の
microvessel,微小血管
microvillus,微絨毛
microwave,極超短波、マイクロ波、マイクロウエーブ
microzoon,微小動物
micturition,排尿
midaxillary,a〉中腋窩の
midbrain,《解》中脳
midclavicular,a〉鎖骨中央の
middiastole,拡張中期
middiastolic,a〉拡張中期の
middle,a〉中間の n〉中間
middorsal,a〉背中の
mideye,中央眼
midgut,中腸
midline,中心線
migrans,移動の
migration,1_遊走 2_《歯》移動<歯の>
migratory,a〉移動性の
mild,a〉病気の軽い、軽症の
miliaria,汗疹
miliarial,a〉汗疹の、粟粒疹の、紅色汗疹の 粟粒疹=ぞくりゅうしん
miliary,a〉粟粒(性)の、粟粒状の 粟粒=ぞくりゅう
milieu,1_環境 2_媒質 3_培地
milk,乳、牛乳
millimeter,ミリメートル
millivolt,ミリボルト
mineral,1_無機質、ミネラル 2_鉱物
minimal,a〉最小の、最小限の
minimum,最小、最小限
minocycline,<[薬品]>ミノサイクリン
minor,a〉小さい方の、少数の
miosis,1_縮瞳 2_軽減期
miotic,a〉縮瞳の n〉縮瞳薬
miscibility,《理化》混和性
misidentification,人物誤認
mismatch,ミスマッチ
misuse,誤用
mitochondrial,a〉糸粒体の
mitochondrion,糸粒体
mitochondria,糸粒体
mitogen,分裂誘発剤、分裂誘発物質、マイトジェン
mitogenic,a〉有糸分裂誘発の
mitosis,有糸分裂、有糸核分裂
mitotic,a〉有糸分裂の、有糸核分裂の、細胞分裂の
mitral,a〉僧帽弁の
mixed,a〉混合(性)の
mixing,《歯》練和
mnemonic,a〉記憶(術)の、記憶を助ける
model,1_(研究の)モデル 2_《歯》模型
modification,1_修飾 2_改変、改良 3_《理化》変態
module,モジュール
modulus,1_係数、率、モジュラス 2_絶対値、母数
molar,a〉奇胎の n〉1_モル 2_《歯》大臼歯
molariform,a〉大臼歯状の
molarity,モル濃度
mold,鋳型
molding,《理化》成形
mole,1_あざ、ほくろ、母斑 2_《理化》モル
molecular,a〉分子の
molecule,分子
mollification,和らげること、静めること、鎮静、緩和、減軽
momentum,1_惰性、はずみ 2_《理化》運動量
monarthric,a〉単関節の
monarthritis,単関節炎
moniliform,a〉連珠状の
monitor,監視装置、監視員、モニター
monkeypox,サル痘
monoarthralgia,単関節痛
monoarthritis,単関節炎
monarthritis,単関節炎
monoarticular,a〉単関節の
monobasic,a〉一塩基の
monoblast,単芽球
monochorditis,一側性声帯炎
monochromatic,a〉単色の
monochrome,単色
monoclonal,a〉モノクロナールの
monococcus,単球菌
monocular,a〉単眼性の
monoculus,単眼奇形
monocyte,単球
monocytic,a〉単球(性)の
monocytosis,単球増加(症)、単球増多(症)
monodactyly,単指症
monodactylia,単指症
monodactylism,単指症
monofocal,a〉単焦点の
monogastric,a〉単胃の
monogenic,a〉一遺伝子の
monograph,単行本
monohydrate,一水和物
monolayer,単層
monolocular,a〉単房性の
monomania,偏執狂
monomelic,a〉単肢の
monomer,モノマー、単量体
monomeric,a〉モノマーの、単量体の
monomorphic,a〉単一形の
monomorphous,a〉単一形の
monomyositis,単発性筋炎
mononephrous,a〉一腎の、一側腎の
mononeural,a〉単一ニューロンの、単一神経の
mononeuropathy,単ニューロンパチー、単神経障害
mononuclear,a〉単核の
mononucleate,a〉単核の
mononucleosis,単核症、単核球症、単核細胞症
monophasic,a〉一相性の
monophobia,孤独恐怖(症)
monophyodont,一生歯
monophyodonty,一生歯性
monoplegia,単麻痺
monoplegic,a〉単麻痺の
